date,page_count,cumulative,cumulative_target
2018-01-01,0.0,0.0,30
2018-01-02,0.0,0.0,60
2018-01-03,49.0,49.0,90
2018-01-04,51.0,100.0,120
2018-01-05,75.0,175.0,150
2018-01-06,30.0,205.0,180
2018-01-07,43.0,248.0,210
2018-01-08,62.0,310.0,240
2018-01-09,17.0,327.0,270
2018-01-10,38.0,365.0,300
2018-01-11,74.0,439.0,330
2018-01-12,30.0,469.0,360
2018-01-13,0.0,469.0,390
2018-01-14,0.0,469.0,420
2018-01-15,51.0,520.0,450
2018-01-16,34.0,554.0,480
2018-01-17,41.0,595.0,510
2018-01-18,31.0,626.0,540
2018-01-19,0.0,626.0,570
2018-01-20,31.0,657.0,600
2018-01-21,57.0,714.0,630
2018-01-22,65.0,779.0,660
2018-01-23,32.0,811.0,690
2018-01-24,58.0,869.0,720
2018-01-25,59.0,928.0,750
2018-01-26,13.0,941.0,780
2018-01-27,70.0,1011.0,810
2018-01-28,57.0,1068.0,840
2018-01-29,58.0,1126.0,870
2018-01-30,91.0,1217.0,900
2018-01-31,81.0,1298.0,930
2018-02-01,87.0,1385.0,960
2018-02-02,30.0,1415.0,990
2018-02-03,56.0,1471.0,1020
2018-02-04,0.0,1471.0,1050
2018-02-05,68.0,1539.0,1080
2018-02-06,53.0,1592.0,1110
2018-02-07,48.0,1640.0,1140
2018-02-08,30.0,1670.0,1170
2018-02-09,31.0,1701.0,1200
2018-02-10,62.0,1763.0,1230
2018-02-11,89.0,1852.0,1260
2018-02-12,95.0,1947.0,1290
2018-02-13,53.0,2000.0,1320
2018-02-14,53.0,2053.0,1350
2018-02-15,46.0,2099.0,1380
2018-02-16,30.0,2129.0,1410
2018-02-17,0.0,2129.0,1440
2018-02-18,0.0,2129.0,1470
2018-02-19,98.0,2227.0,1500
2018-02-20,152.0,2379.0,1530
2018-02-21,46.0,2425.0,1560
2018-02-22,36.0,2461.0,1590
2018-02-23,40.0,2501.0,1620
2018-02-24,33.0,2534.0,1650
2018-02-25,0.0,2534.0,1680
2018-02-26,111.0,2645.0,1710
2018-02-27,63.0,2708.0,1740
2018-02-28,52.0,2760.0,1770
2018-03-01,41.0,2801.0,1800
2018-03-02,30.0,2831.0,1830
2018-03-03,32.0,2863.0,1860
2018-03-04,73.0,2936.0,1890
2018-03-05,92.0,3028.0,1920
2018-03-06,120.0,3148.0,1950
2018-03-07,61.0,3209.0,1980
2018-03-08,0.0,3209.0,2010
2018-03-09,0.0,3209.0,2040
2018-03-10,0.0,3209.0,2070
2018-03-11,32.0,3241.0,2100
2018-03-12,54.0,3295.0,2130
2018-03-13,57.0,3352.0,2160
2018-03-14,70.0,3422.0,2190
2018-03-15,89.0,3511.0,2220
2018-03-16,45.0,3556.0,2250
2018-03-17,30.0,3586.0,2280
2018-03-18,60.0,3646.0,2310
2018-03-19,68.0,3714.0,2340
2018-03-20,47.0,3761.0,2370
2018-03-21,91.0,3852.0,2400
2018-03-22,33.0,3885.0,2430
2018-03-23,74.0,3959.0,2460
2018-03-24,0.0,3959.0,2490
2018-03-25,0.0,3959.0,2520
2018-03-26,0.0,3959.0,2550
2018-03-27,0.0,3959.0,2580
2018-03-28,0.0,3959.0,2610
2018-03-29,0.0,3959.0,2640
2018-03-30,0.0,3959.0,2670
2018-03-31,0.0,3959.0,2700
2018-04-01,62.0,4021.0,2730
2018-04-02,81.0,4102.0,2760
2018-04-03,85.0,4187.0,2790
2018-04-04,45.0,4232.0,2820
2018-04-05,33.0,4265.0,2850
2018-04-06,16.0,4281.0,2880
2018-04-07,24.0,4305.0,2910
2018-04-08,84.0,4389.0,2940
2018-04-09,30.0,4419.0,2970
2018-04-10,30.0,4449.0,3000
2018-04-11,26.0,4475.0,3030
2018-04-12,34.0,4509.0,3060
2018-04-13,32.0,4541.0,3090
2018-04-14,28.0,4569.0,3120
2018-04-15,20.0,4589.0,3150
2018-04-16,50.0,4639.0,3180
2018-04-17,45.0,4684.0,3210
2018-04-18,47.0,4731.0,3240
2018-04-19,32.0,4763.0,3270
2018-04-20,31.0,4794.0,3300
2018-04-21,0.0,4794.0,3330
2018-04-22,0.0,4794.0,3360
2018-04-23,63.0,4857.0,3390
2018-04-24,67.0,4924.0,3420
2018-04-25,11.0,4935.0,3450
2018-04-26,31.0,4966.0,3480
2018-04-27,30.0,4996.0,3510
2018-04-28,0.0,4996.0,3540
2018-04-29,60.0,5056.0,3570
2018-04-30,48.0,5104.0,3600
2018-05-01,63.0,5167.0,3630
2018-05-02,42.0,5209.0,3660
2018-05-03,38.0,5247.0,3690
2018-05-04,39.0,5286.0,3720
2018-05-05,0.0,5286.0,3750
2018-05-06,0.0,5286.0,3780
2018-05-07,35.0,5321.0,3810
2018-05-08,38.0,5359.0,3840
2018-05-09,95.0,5454.0,3870
2018-05-10,40.0,5494.0,3900
2018-05-11,26.0,5520.0,3930
2018-05-12,0.0,5520.0,3960
2018-05-13,0.0,5520.0,3990
2018-05-14,29.0,5549.0,4020
2018-05-15,44.0,5593.0,4050
2018-05-16,41.0,5634.0,4080
2018-05-17,30.0,5664.0,4110
2018-05-18,25.0,5689.0,4140
2018-05-19,0.0,5689.0,4170
2018-05-20,0.0,5689.0,4200
2018-05-21,11.0,5700.0,4230
2018-05-22,30.0,5730.0,4260
2018-05-23,17.0,5747.0,4290
2018-05-24,30.0,5777.0,4320
2018-05-25,13.0,5790.0,4350
2018-05-26,0.0,5790.0,4380
2018-05-27,36.0,5826.0,4410
2018-05-28,0.0,5826.0,4440
2018-05-29,24.0,5850.0,4470
2018-05-30,30.0,5880.0,4500
2018-05-31,42.0,5922.0,4530
2018-06-01,36.0,5958.0,4560
2018-06-02,0.0,5958.0,4590
2018-06-03,0.0,5958.0,4620
2018-06-04,15.0,5973.0,4650
2018-06-05,0.0,5973.0,4680
2018-06-06,33.0,6006.0,4710
2018-06-07,22.0,6028.0,4740
2018-06-08,99.0,6127.0,4770
2018-06-09,0.0,6127.0,4800
2018-06-10,0.0,6127.0,4830
2018-06-11,0.0,6127.0,4860
2018-06-12,65.0,6192.0,4890
2018-06-13,0.0,6192.0,4920
2018-06-14,34.0,6226.0,4950
2018-06-15,36.0,6262.0,4980
2018-06-16,31.0,6293.0,5010
2018-06-17,34.0,6327.0,5040
2018-06-18,55.0,6382.0,5070
2018-06-19,41.0,6423.0,5100
2018-06-20,40.0,6463.0,5130
2018-06-21,35.0,6498.0,5160
2018-06-22,28.0,6526.0,5190
2018-06-23,70.0,6596.0,5220
2018-06-24,0.0,6596.0,5250
2018-06-25,22.0,6618.0,5280
2018-06-26,40.0,6658.0,5310
2018-06-27,32.0,6690.0,5340
2018-06-28,60.0,6750.0,5370
2018-06-29,26.0,6776.0,5400
2018-06-30,48.0,6824.0,5430
2018-07-01,0.0,6824.0,5460
2018-07-02,46.0,6870.0,5490
2018-07-03,51.0,6921.0,5520
2018-07-04,61.0,6982.0,5550
2018-07-05,0.0,6982.0,5580
2018-07-06,0.0,6982.0,5610
2018-07-07,0.0,6982.0,5640
2018-07-08,0.0,6982.0,5670
2018-07-09,32.0,7014.0,5700
2018-07-10,42.0,7056.0,5730
2018-07-11,30.0,7086.0,5760
2018-07-12,58.0,7144.0,5790
2018-07-13,30.0,7174.0,5820
2018-07-14,0.0,7174.0,5850
2018-07-15,0.0,7174.0,5880
2018-07-16,40.0,7214.0,5910
2018-07-17,24.0,7238.0,5940
2018-07-18,26.0,7264.0,5970
2018-07-19,32.0,7296.0,6000
2018-07-20,31.0,7327.0,6030
2018-07-21,0.0,7327.0,6060
2018-07-22,0.0,7327.0,6090
2018-07-23,96.0,7423.0,6120
2018-07-24,36.0,7459.0,6150
2018-07-25,33.0,7492.0,6180
2018-07-26,21.0,7513.0,6210
2018-07-27,31.0,7544.0,6240
2018-07-28,0.0,7544.0,6270
2018-07-29,0.0,7544.0,6300
2018-07-30,18.0,7562.0,6330
2018-07-31,48.0,7610.0,6360
2018-08-01,27.0,7637.0,6390
2018-08-02,22.0,7659.0,6420
2018-08-03,0.0,7659.0,6450
2018-08-04,55.0,7714.0,6480
2018-08-05,0.0,7714.0,6510
2018-08-06,0.0,7714.0,6540
2018-08-07,12.0,7726.0,6570
2018-08-08,17.0,7743.0,6600
2018-08-09,16.0,7759.0,6630
2018-08-10,11.0,7770.0,6660
2018-08-11,0.0,7770.0,6690
2018-08-12,0.0,7770.0,6720
2018-08-13,10.0,7780.0,6750
2018-08-14,15.0,7795.0,6780
2018-08-15,0.0,7795.0,6810
2018-08-16,53.0,7848.0,6840
2018-08-17,27.0,7875.0,6870
2018-08-18,0.0,7875.0,6900
2018-08-19,0.0,7875.0,6930
2018-08-20,0.0,7875.0,6960
2018-08-21,39.0,7914.0,6990
2018-08-22,22.0,7936.0,7020
2018-08-23,31.0,7967.0,7050
2018-08-24,33.0,8000.0,7080
2018-08-25,0.0,8000.0,7110
2018-08-26,0.0,8000.0,7140
2018-08-27,88.0,8088.0,7170
2018-08-28,0.0,8088.0,7200
2018-08-29,0.0,8088.0,7230
2018-08-30,0.0,8088.0,7260
2018-08-31,0.0,8088.0,7290
2018-09-01,0.0,8088.0,7320
2018-09-02,0.0,8088.0,7350
2018-09-03,0.0,8088.0,7380
2018-09-04,0.0,8088.0,7410
2018-09-05,35.0,8123.0,7440
2018-09-06,34.0,8157.0,7470
2018-09-07,37.0,8194.0,7500
2018-09-08,0.0,8194.0,7530
2018-09-09,40.0,8234.0,7560
2018-09-10,34.0,8268.0,7590
2018-09-11,35.0,8303.0,7620
2018-09-12,37.0,8340.0,7650
2018-09-13,31.0,8371.0,7680
2018-09-14,0.0,8371.0,7710
2018-09-15,0.0,8371.0,7740
2018-09-16,42.0,8413.0,7770
2018-09-17,41.0,8454.0,7800
2018-09-18,36.0,8490.0,7830
2018-09-19,54.0,8544.0,7860
2018-09-20,37.0,8581.0,7890
2018-09-21,30.0,8611.0,7920
2018-09-22,0.0,8611.0,7950
2018-09-23,16.0,8627.0,7980
2018-09-24,29.0,8656.0,8010
2018-09-25,29.0,8685.0,8040
2018-09-26,14.0,8699.0,8070
2018-09-27,32.0,8731.0,8100
2018-09-28,15.0,8746.0,8130
2018-09-29,0.0,8746.0,8160
2018-09-30,0.0,8746.0,8190
2018-10-01,35.0,8781.0,8220
2018-10-02,30.0,8811.0,8250
2018-10-03,14.0,8825.0,8280
2018-10-04,13.0,8838.0,8310
2018-10-05,11.0,8849.0,8340
2018-10-06,0.0,8849.0,8370
2018-10-07,0.0,8849.0,8400
2018-10-08,0.0,8849.0,8430
2018-10-09,34.0,8883.0,8460
2018-10-10,42.0,8925.0,8490
2018-10-11,20.0,8945.0,8520
2018-10-12,32.0,8977.0,8550
2018-10-13,0.0,8977.0,8580
2018-10-14,0.0,8977.0,8610
2018-10-15,39.0,9016.0,8640
2018-10-16,14.0,9030.0,8670
2018-10-17,0.0,9030.0,8700
2018-10-18,29.0,9059.0,8730
2018-10-19,25.0,9084.0,8760
2018-10-20,0.0,9084.0,8790
2018-10-21,0.0,9084.0,8820
2018-10-22,31.0,9115.0,8850
2018-10-23,32.0,9147.0,8880
2018-10-24,36.0,9183.0,8910
2018-10-25,15.0,9198.0,8940
2018-10-26,0.0,9198.0,8970
2018-10-27,0.0,9198.0,9000
2018-10-28,0.0,9198.0,9030
2018-10-29,34.0,9232.0,9060
2018-10-30,31.0,9263.0,9090
2018-10-31,34.0,9297.0,9120
2018-11-01,39.0,9336.0,9150
2018-11-02,18.0,9354.0,9180
2018-11-03,0.0,9354.0,9210
2018-11-04,0.0,9354.0,9240
2018-11-05,16.0,9370.0,9270
2018-11-06,34.0,9404.0,9300
2018-11-07,54.0,9458.0,9330
2018-11-08,69.0,9527.0,9360
2018-11-09,45.0,9572.0,9390
2018-11-10,0.0,9572.0,9420
2018-11-11,30.0,9602.0,9450
2018-11-12,86.0,9688.0,9480
2018-11-13,30.0,9718.0,9510
2018-11-14,32.0,9750.0,9540
2018-11-15,30.0,9780.0,9570
2018-11-16,0.0,9780.0,9600
2018-11-17,0.0,9780.0,9630
2018-11-18,0.0,9780.0,9660
2018-11-19,54.0,9834.0,9690
2018-11-20,29.0,9863.0,9720
2018-11-21,25.0,9888.0,9750
2018-11-22,39.0,9927.0,9780
2018-11-23,0.0,9927.0,9810
2018-11-24,0.0,9927.0,9840
2018-11-25,25.0,9952.0,9870
2018-11-26,16.0,9968.0,9900
2018-11-27,67.0,10035.0,9930
2018-11-28,37.0,10072.0,9960
2018-11-29,36.0,10108.0,9990
2018-11-30,63.0,10171.0,10020
2018-12-01,0.0,10171.0,10050
2018-12-02,0.0,10171.0,10080
2018-12-03,0.0,10171.0,10110
2018-12-04,22.0,10193.0,10140
2018-12-05,31.0,10224.0,10170
2018-12-06,31.0,10255.0,10200
2018-12-07,31.0,10286.0,10230
2018-12-08,30.0,10316.0,10260
2018-12-09,30.0,10346.0,10290
2018-12-10,0.0,10346.0,10320
2018-12-11,34.0,10380.0,10350
2018-12-12,30.0,10410.0,10380
2018-12-13,30.0,10440.0,10410
2018-12-14,14.0,10454.0,10440
2018-12-15,0.0,10454.0,10470
2018-12-16,0.0,10454.0,10500
2018-12-17,31.0,10485.0,10530
2018-12-18,32.0,10517.0,10560
2018-12-19,35.0,10552.0,10590
2018-12-20,73.0,10625.0,10620
2018-12-21,32.0,10657.0,10650
2018-12-22,41.0,10698.0,10680
2018-12-23,0.0,10698.0,10710
2018-12-24,46.0,10744.0,10740
2018-12-25,98.0,10842.0,10770
2018-12-26,18.0,10860.0,10800
2018-12-27,58.0,10918.0,10830
2018-12-28,24.0,10942.0,10860
2018-12-29,144.0,11086.0,10890
2018-12-30,0.0,11086.0,10920
2018-12-31,0.0,11086.0,10950
